序号,大类,分类,小类,意思,词类,单词,重复,有道音,解释,参考,例句,英文释义,关键字,有道义
5108,发展,发展,发展,即将/临近,a.,upcoming,,en [ʌp'kʌmɪŋ] us ['ʌpkʌmɪŋ],即将来临的,,,(noun) The act of coming up. | (adjective) Happening or appearing in the relatively near future.,,adj. 即将来临的
7820,发展,发展,发展,进步,vv.,culminate,,en ['kʌlmɪneɪt] us ['kʌlmɪnet],到达顶点，高潮,,Months of hard work culminated in success. 几个月的艰辛工作终于取得了成功。,"(verb) Of a heavenly body, to be at the highest point, reach its greatest altitude. | (adjective) Relating to the culmen",,"vi. 到绝顶；达到高潮；达到顶点
vt. 使结束；使达到高潮"
2838,发展,发展,发展,进步,vv.,evolve,,en [ɪ'vɒlv] us [ɪ'vɑlv],发展；进化,,Each school must evolve its own way of working. 每所学校必须发展出自己的办学方式。,(verb) To move in regular procession through a system.,,"vt. 发展；进化；使逐步形成；推断出
vi. 发展，进展；进化；逐步形成"
31110,发展,发展,发展,进步,vv.,fledge,,en [fledʒ] us [flɛdʒ],长羽毛，羽翼丰满；喂养,in a full fledge,"The Agency for International Development has recognized the power of this educational model, and is helping to fledge new schools through grants and exchange programs.美国国际开发署认识到了这种教育模式的威力，正在通过资金和交换计划等手段建立更多的新学校。",(verb) To care for a young bird until it is capable of flight. | (adjective) Feathered; furnished with feathers or wings; able to fly.,,"vi. 长羽毛
vt. 装上羽毛"
8493,发展,发展,发展,进步,vi.,plateau,,en ['plætəʊ] us [plæ'to],进入稳定期,,the industry's problems have plateaued out. 该行业的问题已经进入了稳定期 ,(noun) A largely level expanse of land at a high elevation; tableland. | (verb) To reach a stable level; to level off.,,"n. 高原；稳定水平；托盘；平顶女帽
vi. 达到平衡；达到稳定时期"
6K+,发展,发展,发展,进步,v.,ratchet up,,en [ˈrætʃɪt ʌp] us [ˈrætʃɪt ʌp],渐进,,inflation will ratchet up as the year ends,To increase something (like pressure or cost) step by step or incrementally.,,逐渐升高；略微调高
15906,发展,发展,发展,进步,vv.,unfurl,z,en [ʌn'fɜːl] us ['ʌn'fɝl],展开；使…临风招展,,So encouraging to see the future unfurl.看着未来的开启真令人鼓舞。But a grin was unfurling on Ron's face.可是罗恩脸上却绽开了一个调皮的微笑。,"(verb) To unroll or release something that had been rolled up, typically a sail or a flag.",,"vt. 展开；使…临风招展
vi. 展开；公开"
7346,发展,发展,发展,进步,vv.,wax,4,en [wæks] us [wæks],变大；月满,,Portugal and Spain had possessed vast empires that waxed and waned.葡萄牙和西班牙都曾是经历了兴衰的大帝国。,(noun) Beeswax. | (adjective) Made of wax.,,"n. 蜡；蜡状物
vt. 给…上蜡
vi. 月亮渐满；增大
adj. 蜡制的；似蜡的
n. (Wax)人名；(德、罗、匈、英)瓦克斯"
41733,发展,发展,发展,进步/倒退,n.,declension,,en [dɪ'klenʃ(ə)n] us [dɪ'klɛnʃən],词尾变化；变格；倾斜；衰退,,An ardent outset may be followed by declension. 热情的开端可能继之以冷漠。,"(noun) A falling off, decay or descent.",,n. 词尾变化；变格；倾斜；衰退
9524,发展,发展,发展,进步/倒退,vi.,falter,,en ['fɔːltə; 'fɒl-] us ['fɔltɚ],衰退,,The economy shows no signs of faltering. 经济没有衰退的迹象,(noun) Unsteadiness. | (verb) To waver or be unsteady; to weaken or trail off.,,"vi. 衰弱；衰退；（嗓音）颤抖；结巴地说；蹒跚；犹豫
n. 踌躇；支吾；颤抖
n. (Falter) （美、德）法尔特（人名）"
18757,发展,发展,发展,进步/倒退,vi.,fizzle,,en ['fɪz(ə)l] us [ 'fizl ],微弱的结束，失败；发嘶嘶声,,the romance fizzled out.爱情关系终于告吹。the strobe lights fizzled and flickered.那些频闪闪光灯嘶嘶暗响，闪烁不定。The plans for the picnic fizzled out.野餐的计划失败了。The party fizzled out before midnight.参加聚会的人在午夜前作鸟兽散。,(noun) A spluttering or hissing sound. | (verb) To sputter or hiss.,,"vi. 失败；发嘶嘶声；萎靡
n. 失败；嘶嘶声"
6K+,发展,发展,发展,进步/倒退,phr.,go haywire,,,失去控制；举止异常,,Many Americans think their legal system has gone haywire.很多美国人认为他们的司法体系已经乱套了。,To become out of control or stop working correctly.,,发疯；陷于混乱；变得疯疯癫癫
53330,发展,发展,发展,进步/倒退,n.,involution,,"en [ɪnvə'l(j)uːʃ(ə)n] us [,ɪnvə'lʊʃən]",卷入；回旋；退化；复杂性,,,(noun) Entanglement; a spiralling inwards; intricacy.,,n. [生物] 退化；纠缠（的事物）；乘方
11340,发展,发展,发展,进步/倒退,vv.,ooze,,en [uːz] us [uz],渗出；慢慢地消失或消退,,His courage oozed away.他的勇气逐渐消失了；The house oozed with charm.这座房子很奇特,"(noun) Tanning liquor, an aqueous extract of vegetable matter (tanbark, sumac, etc.) in a tanning vat used to tan leather. | (verb) To be secreted or slowly leak.",,"vt. 渗出；泄漏
vi. 渗出；泄漏
n. [地质] 软泥"
22957,发展,发展,发展,进步/倒退,n.,ratchet,,en ['rætʃɪt] us ['rætʃɪt],棘齿；形势的每况愈下，恶化,,yet another turn in the ratchet of state control over local experimentation.国家对地方实验进行的又一轮倒退性控制；ratchet up  逐渐升高；略微调高,"(noun) A pawl, click or detent for holding or propelling a ratchet wheel, or ratch, etc. | (verb) To cause to become incremented or decremented.",,"n. 棘轮；棘齿
vt. 安装棘轮于；松脱"
39192,发展,发展,发展,进步/倒退,a.,retrograde,,en ['retrəgreɪd] us ['rɛtrəɡred],退化；逆行；倒退,retrogradation,The closure of the factory is a retrograde step.  工厂的关闭是一大退步。,"(adjective) Directed backwards, retreating; reverting, especially to an inferior state, declining; inverse, reverse; movement opposite to normal or intended motion, often circular motion.",,"adj. 倒退的；退化的；次序颠倒的
vi. 逆行；倒退；退步
vt. 使倒退
adv. 倒退地；向后地"
3521,发展,发展,发展,进步/倒退,v.,reverse,,en [rɪ'vɜːs] us [rɪ'vɝs],反转；对换，取消,,,(noun) The opposite of something. | (verb) To turn something around so that it faces the opposite direction or runs in the opposite sequence.,,"v. 颠倒；撤销；反转；交换；放弃立场；倒车；打对方付费的电话；（使铅字、图案）印成白或浅色
n. 逆向；相反；背面；倒档；失败；（美橄）横式传球；（翻开书的）左手页
adj. 相反的；背面的；颠倒的；反身的；（地层）逆断的"
27375,发展,发展,发展,重复,a.,iterative,,en ['ɪt(ə)rətɪv] us ['ɪt(ə)rətɪv],重复的；反复的；迭代的,repetitious and frequent,"Quality improvement, like software development, is an iterative process. 质量改进，如软件开发，是一个迭代的过程。",(noun) (grammar) A verb showing the iterative aspect. | (adjective) Of a procedure that involves repetition of steps (iteration) to achieve the desired outcome; in computing this may involve a mechanism such as a loop.,,"adj. [数] 迭代的；重复的，反复的
n. 反复体"
11039,发展,发展,发展,重复,n.,recurrence,,en [rɪ'kʌrəns] us [rɪ'kɝəns],复发；反复；重现,,More care in the future will prevent recurrence of the mistake.将来的小心可防止错误的重现。,(noun) Return or reversion to a certain state.,,n. 再发生；循环；重现；重新提起
22358,发展,发展,发展,重复,n.,reprise,,en [rɪ'priːz] us [rɪ'priz],（尤指乐曲的）重复部分；重复,v.,"He then proceeded to play for more than two hours, reprising every one of his hits.他又接着演奏了两个多小时，将他的每一首知名作品都演奏了一遍。",(noun) A recurrence or resumption of an action. | (verb) To take (something) up or on again.,,"n. （尤指乐曲的）重复部分，再现部；重复，重演
v. 反复（乐曲），重演"
24430,发展,发展,阶段,1,a.,autumnal,,en [ɔː'tʌmn(ə)l] us [ɔ'tʌmnəl],秋的，秋天的，已过中年的,,the autumnal equinox秋分;autumnal gales秋风,(adjective) Of or relating to autumn.,,adj. 秋天的；已过中年的
25209,发展,发展,阶段,1,n.,coming-of-age,,"en [,kʌmiŋəv'eidʒ]",成年；成熟,,,"{Merriam-Webster} (noun) the attainment of prominence, respectability, recognition, or maturity",,"n. 成年；成熟；到了……的重要阶段；成功之时
adj. 庆祝某人踏入成年而做（或举办等）的"
13017,发展,发展,阶段,1,a.,full-blown,,en [ful'bləun] us [ ful'bləun ],成熟的；（花）盛开的,,,(adjective) Completely developed or formed.,,adj. 成熟的；（花）盛开的；（帆等）张满的
28000,发展,发展,阶段,1,a.,half-baked,,en ['hɑ:fbeikt] us [ 'hɑ:fbeikt ],半熟的；（计划、想法等）不完善的,,,"(adjective) (frequently derisive) incomplete; (of an idea or scheme) not fully planned or carefully considered, ill-conceived, unsound or badly thought-out; (of a person) foolish or having no common sense.",,adj. （菜肴）半熟的；（计划、想法等）不完善的；（观点、理论）不成熟的；愚蠢的，肤浅的
13757,发展,发展,阶段,1,n.,lull,,en [lʌl] us [lʌl],平息期,,a lull in the conversation谈话中的一时沉寂；the lull before the storm风暴前的平静。,(noun) A period of rest or soothing. | (verb) To cause to rest by soothing influences; to compose; to calm,,"v. 使平静；使安静；哄骗；平息，减弱，停止；使（人）放松警惕
n. 间歇；暂停，暂时平静
n. (Lull) （美、西、德、加、英、法）勒尔（人名）"
21688,发展,发展,阶段,1,a.,passe,,en [pæ'se] us [ 'pa:sei ],已过盛年的；过时的；不再流行的,outmoded,"He was a fine actor but he's a bit passe now. 他曾是优秀演员,但现在最红时期已过.",(verb) To change place. | (adjective) Dated; out of style; old-fashioned.,,"adj. 已过盛年的；过时的；凋谢的
n. (Passe)人名；(法)帕斯"
16067,发展,发展,阶段,1,n.,run-up,,en ['rʌnʌp] us [ 'rʌnʌp ],助跑；预备阶段,,,(noun) The approach run of a bowler before delivering the ball,,n. 助跑；预备阶段；抬高；急剧增长
6903,发展,发展,阶段,1,n.,slump,,en [slʌmp] us [slʌmp],经济不景气时期；低潮期,low-tide; low-water,,"(noun) A heavy or helpless collapse; a slouching or drooping posture; a period of poor activity or performance, especially an extended period. | (verb) To collapse heavily or helplessly.",,"v. （价格、数量等）骤降；重重地坐下（或倒下）；惨败；（肩或脑袋）耷拉着
n. （价格、数量等的）猛然严重下降；经济不景气时期；低潮期"
17041,发展,发展,阶段,1,n.,stratosphere,,"en ['strætə,sfɪə] us ['strætəsfɪr]",同流层；同温层；最上层；最高阶段,apotheosis,"This was enough to launch their careers into the stratosphere. 
这足以让他们的事业平步青云了。","(noun) Collectively, those layers of the Earth’s crust which primarily comprise stratified deposits.",,n. 同温层；最上层；最高阶段
4495,发展,发展,阶段,初始/新兴,n.,debut,,en ['deɪbjuː; -buː] us [de'bju],初次登台,,,"(noun) A performer's first performance to the public, in sport, the arts or some other area. | (verb) To formally introduce, as to the public",,"n. 初次登台；开张
vi. 初次登台
n. (Debut)人名；(法)德比"
6751,发展,发展,阶段,初始/新兴,a.,embryo,,en ['embrɪəʊ] us ['ɛmbrɪo],初期,,,"(noun) In the reproductive cycle, the stage after the fertilization of the egg that precedes the development into a fetus.",,"n. [胚] 胚胎；胚芽；初期
adj. 胚胎的；初期的"
10599,发展,发展,阶段,初始/新兴,a.,embryonic,,"en [,embrɪ'ɒnɪk] us [,ɛmbrɪ'ɑnɪk]",胚胎的；处于萌芽期的，初期的,,the plan is still in its embryonic stages. 该计划还在酝酿之中 ,(adjective) Of or relating to an embryo.,,adj. [胚] 胚胎的；似胚胎的
14341,发展,发展,阶段,初始/新兴,a.,emergent,,en [ɪ'mɜːdʒ(ə)nt] us [ɪ'mɝdʒənt],新兴的；处于发展初期的,,an emergent state.新兴国家;an emergent nationalist movement新兴民族主义运动,"(noun) A plant whose root system grows underwater, but whose shoot, leaves and flowers grow up and above the water. | (adjective) Emerging; coming into view or into existence; nascent; new.",,adj. 紧急的；浮现的；意外的；自然发生的
4518,发展,发展,阶段,初始/新兴,a.,emerging,3,en [ɪ'mɝdʒɪŋ] us [ i'mə:dʒiŋ ],走向成熟的；新兴的,,,(verb) To come into view. | (noun) Emergence,,"v. 浮现；变得显眼（或重要、突出）；（事实、情况）被知晓；恢复过来；（昆虫或其他无脊椎动物）破壳而出（emerge 的现在分词）
adj. 走向成熟的；新兴的"
26026,发展,发展,阶段,初始/新兴,n.,endgame,,en ['en(d)geɪm] us ['ɛndɡem],最后阶段；尾声；残局，终局,,,"(noun) The final stage of a game of chess, when there are few pieces left.",,n. 最后阶段；尾声；（国际象棋或桥牌中）残局，终局；（战争、竞赛等）最后阶段；结束阶段，收官阶段；（政治进程等的）最后阶段
10609,发展,发展,阶段,初始/新兴,a.,fledgling,,en ['fledʒlɪŋ] us ['flɛdʒlɪŋ],羽翼未丰的；初出茅庐的；不成熟的,,...the sound practical advice he gave to fledgling writers.他给初出茅庐的作家提出的可靠实用的建议；Russia's fledgling democracy俄罗斯新兴的民主,(noun) A young bird which has just developed its flight feathers (notably wings). | (adjective) Untried or inexperienced.,,n. 无经验的人；刚会飞的幼鸟
10467,发展,发展,阶段,初始/新兴,n.,foray,,en ['fɒreɪ] us ['fɔre],突袭；涉足，开创性的尝试；短暂访问,,the company's first foray into the computer market该公司的初次涉足计算机市场；weekend shopping forays/expedition to France周末赴法国购物,"(noun) A sudden or irregular incursion in border warfare; hence, any irregular incursion for war or spoils; a raid. | (verb) To scour (an area or place) for food, treasure, booty etc.",,"n. 涉足，初次尝试；突袭；侵略；攻击
vi. 袭击
vt. 劫掠
n. (Foray)人名；(法)福雷"
42155,发展,发展,阶段,初始/新兴,a.,germinal,,en ['dʒɜːmɪn(ə)l] us ['dʒɝmənl],萌芽阶段的，处于初级状态的；孕育新思想的，开创性的；胚种的；幼芽的,,,(adjective) Relating to spring,,adj. 胚种的；幼芽的；原始的
20988,发展,发展,阶段,初始/新兴,n.,gestation,,en [dʒe'steɪʃ(ə)n] us [dʒɛ'steʃən],酝酿；怀孕；妊娠期,,...the prolonged period of gestation of this design.这项设计漫长的构思阶段,(noun) The period of time during which an infant animal or human physically develops inside the mother's body until it is born.,,n. 酝酿；怀孕；妊娠期
10574,发展,发展,阶段,初始/新兴,n.,inception,,en [ɪn'sepʃ(ə)n] us [ɪn'sɛpʃən],起初,,The club has grown rapidly since its inception in 2007. 这个俱乐部自从 2007 年成立以来发展迅速。,(noun) The creation or beginning of something; the establishment.,,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
27810,发展,发展,阶段,初始/新兴,a.,inchoate,z,en [ɪn'kəʊeɪt; 'ɪnk-; -ət] us [ɪn'koɪt],早期的；刚开始的；未充分发展的,"embryotic, nascent","a still inchoate democracy仍未成熟的民主政治；inchoate proletarian protest混乱的无产阶级抗议；a vague, inchoate idea一个模糊的、尚未成熟的想法","(noun) A beginning, an immature start. | (verb) To begin or start (something).",,"adj. 早期的；刚开始的；未充分发展的
vt. 开始
vi. 开始"
18050,发展,发展,阶段,初始/新兴,a.,incipient,,en [ɪn'sɪpɪənt] us [ɪn'sɪpɪənt],初始的,,an incipient economic recovery初期的经济复苏,"(noun) Beginner | (adjective) In an initial stage; beginning, starting, coming into existence.",,adj. 初期的；初始的；起初的；发端的
11212,发展,发展,阶段,初始/新兴,n.,infancy,,en ['ɪnf(ə)nsɪ] us ['ɪnfənsi],初期；婴儿期；幼年,infant; infantile,,(noun) The earliest period of childhood (crawling rather than walking).,,n. 初期；婴儿期；幼年
22293,发展,发展,阶段,初始/新兴,a.,leadoff,,en ['liːdɒf],（系列中）开头的，起始的,,the lead-off track on the album专辑的第一首歌,(noun) The first batter in the batting order. | (adjective) Beginning something by leading the way.,,"n. 开始；着手；第一棒打击手
adj. 最初的"
25103,发展,发展,阶段,初始/新兴,n.,liftoff,,"en ['lɪftɒf] us ['lɪft,ɔf]",发射；起飞时刻,,,(noun) The point in the launch of a rocket or an aircraft where it leaves contact with the ground.,,n. 发射；起飞时刻；搬走
13692,发展,发展,阶段,初始/新兴,a.,nascent,,en ['næs(ə)nt; 'neɪ-] us ['næsnt],初期的；新兴的,,,(adjective) Emerging; just coming into existence.,,adj. 新兴的，初期的，开始存在的，发生中的
20200,发展,发展,阶段,初始/新兴,a.,neonatal,,"en [,niːə(ʊ)'neɪt(ə)l] us [,nio'netl]",新生的；初生的,,,"(adjective) Of or pertaining to the period of time immediately following birth, or to the newborn.",,adj. 新生的；初生的
7206,发展,发展,阶段,初始/新兴,n.,onset,,en ['ɒnset] us ['ɑnsɛt],攻击；（尤指不愉快事情的）开始；发病,,"With the onset of war, oil prices climbed past $30 a barrel.战争一爆发，油价就攀过了每桶30美元。",(noun) An attack; an assault especially of an army. | (verb) To assault; to set upon.,,n. 开始，着手；发作；攻击，进攻
8109,发展,发展,阶段,初始/新兴,n.,outset,,en ['aʊtset] us ['aʊtsɛt],开始；开端,,I made it clear right at/from the outset that I disapproved. 从一开始我就明确地说我不赞成。,(noun) The beginning or initial stage of something.,,n. 开始；开端
4444,发展,发展,阶段,初始/新兴,a.,preliminary,,en [prɪ'lɪmɪn(ə)rɪ] us [prɪ'lɪmɪnɛri],初步的；预备的,,,"(noun) A preparation for a main matter; an introduction. | (adjective) In preparation for the main matter; initial, introductory, preparatory.",,"adj. 初步的；开始的；预备的
n. 初步行动；准备工作；预赛，预试"
6932,发展,发展,阶段,初始/新兴,n.,premiere,,en ['premɪeə] us [prɪ'mɪr],初次演出,v.,His new movie premieres in New York this week. 他的新电影本周在纽约首映。The movie will have its premiere in July. 这部电影将于七月首映。,"(noun) The first showing of a film, play or other form of entertainment, often held as a special event with celebrity guests. | (verb) Of a film or play, to play for the first time.",,"n. （电影、戏剧的）首次公演
v. 首次上演；首次露面；首次公演（戏剧、音乐等）
adj. 首要的；最早的
n. (Premiere) （美、巴）鄱勒弥爱尔（人名）"
13467,发展,发展,阶段,初始/新兴,a.,preparatory,,en [prɪ'pærət(ə)rɪ] us [prɪ'pærətɔri],初步的；准备的,,,"(adjective) Of or pertaining to preparation, having the purpose of making something or someone ready, preparative.",,"adj. 预备的
n. 预科；预备学校"
12450,发展,发展,阶段,初始/新兴,a.,rudimentary,,"en [,ruːdɪ'ment(ə)rɪ] us [,rudɪ'mɛntri]",基本的；简陋的；未充分发展的，原始的,,a kind of rudimentary kitchen略显简陋的厨房；a rudimentary grasp of economics.对经济学知识的初步掌握,(noun) (usually in the plural) One of the rudimentary mammae of boars. | (adjective) Of or relating to one or more rudiments.,,adj. 基本的；初步的；退化的；残遗的；未发展的
16472,发展,发展,阶段,初始/新兴,n.,springboard,,en ['sprɪŋbɔːd] us ['sprɪŋbɔrd],跳板；出发点,,The document provided a springboard for a lot of useful discussion. 这份文件引发出许多有益的讨论。,"(noun) A diving board consisting of a flexible, springy, cantilevered platform, used for diving into water. | (verb) To launch or propel as if from a springboard, especially toward political office.",,"n. 跳板；出发点
vi. 利用跳板跃进"
22051,发展,发展,阶段,结束,n.,coda,,en ['kəʊdə] us ['kodə],尾声；结尾；结束语,finale,The final two months were a miserable coda to the President's first period in office. 总统首届任期的最后两个月非常糟糕。,(noun) A person born hearing to deaf parents. | (noun) A passage that brings a movement or piece to a conclusion through prolongation.,,"n. 结尾部分；终结句；尾声；终曲
n. (Coda)人名；(法、西、意)科达"
24422,发展,发展,阶段,结束,n.,denouement,,en [deɪnuː'mɒŋ] us [ deinu:'mɔŋ ],（戏剧、小说或叙述的）收场，结局；（一系列事件的）高潮；结果,,The book's sentimental denouement is pure Hollywood.该书的煽情结局纯粹是好莱坞式的。an unexpected denouement.出人意料的收场,"(noun) (authorship, often used metaphorically) The conclusion or resolution of a plot.",,n. 结局；终场
21684,发展,发展,阶段,结束,n.,doomsday,,en ['duːmzdeɪ] us ['dumzde],世界末日；最后的审判日,,the doomsday scenario of civil war between the two factions.两个派系之间的内战可能会带来世界末日般的灾难,(noun) The day when God is expected to judge the world; end times. | (adjective) Concerned with or predicting future universal destruction.,,n. 世界末日；最后的审判日
7412,发展,发展,阶段,结束,a.,eventual,,en [ɪ'ven(t)ʃʊəl] us [ i'ventʃuəl ],最终的,,The village school may face eventual closure. 这所乡村学校可能面临最后被关闭。,(adjective) Finally resulting or occuring (after a period of time).,,adj. 最终的；有条件的
10005,发展,发展,阶段,结束,n.,finale,,en [fɪ'nɑːlɪ; -leɪ] us [fɪ'næli],结局；终曲；最后一场,,a fitting finale to the day's events当天活动的圆满结束,"(noun) The grand end of something, especially a show or piece of music.",,"n. 结局；终曲；最后一场；最后乐章；尾声
n. (Finale)人名；(英)菲纳利；(意、西)菲纳莱"
16477,发展,发展,阶段,结束,n.,finality,,en [faɪ'nælɪtɪ] us [faɪ'næləti],终结；结尾,,He spoke with curt finality.他说得斩钉截铁.There was a note of finality in his voice.他的话有斩钉截铁的意味。,(noun) The state of being final; the condition from which no further changes occur.,,n. 定局；终结；结尾；最后的事物；最后的言行
5849,发展,发展,阶段,结束,a.,terminal,,en ['tɜːmɪn(ə)l] us [tɝ​mənl],晚期的；无可挽回的；末端的；终点的,,a terminal patient晚期病人；The industry is in terminal decline.  这个行业每况愈下，一蹶不振。,(noun) A building in an airport where passengers transfer from ground transportation to the facilities that allow them to board airplanes. | (verb) To store bulk liquids (such as oil or chemicals) in storage tanks prior to further distribution.,,"n. 航空站；终点站；终端机；线接头；末端；晚期病人
adj. 晚期的；无可挽回的；末端的；终点的；期末的；（花朵等）顶升的"
6999,发展,发展,阶段,结束,n.,twilight,,en ['twaɪlaɪt] us ['twaɪlaɪt],黄昏，暮色；衰退期,,Now both men are in the twilight of their careers...现在两人的事业都到了没落期。,"(noun) The soft light in the sky seen before the rising and (especially) after the setting of the sun, occasioned by the illumination of the earth’s atmosphere by the direct rays of the sun and their reflection on the earth. | (verb) To illuminate faintly.",,"n. 黄昏，暮色；衰退期，朦胧状态
adj. 虚幻的；模糊的，朦胧的"
12636,发展,发展,阶段,盛世,n.,heyday,3,en ['heɪdeɪ] us ['hede],极盛时期,,,"(noun) A period of success, popularity, or power; prime. | (interjection) A lively greeting.",,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
12056,发展,发展,阶段,原始,a.,primal,,en ['praɪm(ə)l] us ['praɪml],最初的；原始的；首要的,,Jealousy is a primal emotion.嫉妒是最原始的情感。,(noun) A primal cut (of meat). | (verb) To take part in primal therapy.,,"adj. 原始的；主要的；最初的
n. 被压抑童年情绪的释放
vt. 释放（被压抑的童年情绪）"
1509,发展,发展,阶段,原始,a.,primary,,en ['praɪm(ə)rɪ] us ['praɪmɛri],首要的；主要的；最早的；原始的,,,"(noun) A primary election; a preliminary election to select a political candidate of a political party. | (verb) To challenge (an incumbent sitting politician) for their political party's endorsement to run for re-election, through running a challenger campaign in a primary election, especially one that is more ideologically extreme.",,"adj. 主要的；初级的；基本的
n. 原色；最主要者"
19324,发展,发展,阶段,原始,a.,primeval,,en [praɪ'miːv(ə)l] us [ prai'mi:vəl ],原始的,,primeval urges本能的欲望,(adjective) Belonging to the first ages,,adj. 原始的；初期的（等于primaeval）
13623,发展,发展,阶段,原始,a.,primordial,,en [praɪ'mɔːdɪəl] us [praɪ'mɔrdɪəl],原始的；基本的，主要的；原生的,,the primordial needs of the masses群众的基本要求 ；Life's primordial reality is spirit. 生命的根本真实性是精神 ,"(noun) A first principle or element. | (adjective) First, earliest or original",,adj. 原始的；根本的；原生的
8384,发展,发展,阶段,原始,a.,pristine,,en ['prɪstiːn; -staɪn] us ['prɪstin],原始的，早期的；淳朴的,,,(adjective) Unspoiled; still with its original purity; uncorrupted or unsullied.,,adj. 崭新的，清新的，干净的；未开发的，原始的
,发展,发展,阶段,重要,n.,apotheosis,25431,"英 [ə,pɒθɪ'əʊsɪs] 美 [ə,pɑθɪ'osɪs]",（事业或人生的）巅峰，顶峰,,That night was Richard's apotheosis.是夜，理查德登上了人生的顶峰。,(noun) The fact or action of becoming or making into a god; deification.,,
19970,发展,发展,阶段,重要,a.,climactic,,en [klaɪˈmæktɪk] us [klaɪˈmæktɪk],高潮的；最精彩的,,the film's climactic scenes电影的高潮场面 ,"(adjective) Of, pertaining to, or constituting a climax; reaching a decisive moment or point of greatest tension.",,adj. 高潮的；顶点的；渐层法的
17303,发展,发展,阶段,重要,vi.,crescendo,,en [krɪ'ʃendəʊ] us [krə'ʃɛndo],到达顶点，高潮,,There was a crescendo of parliamentary and press criticism...来自议会和新闻界的批评越来越多。And now the story reaches a crescendo.现在故事进行到了高潮。,"(noun) An instruction to play gradually more loudly, denoted by a long, narrow angle with its apex on the left ( < ), by musicians called a hairpin. | (verb) To increase in intensity; to reach or head for a crescendo.",,"n. 声音渐增
adv. 渐次加强地
adj. 渐强的
vi. 音量逐渐增强"
13163,发展,发展,阶段,重要,n.,culmination,,en [kʌlmɪ'neɪʃ(ə)n] us ['kʌlmə'neʃən],顶点；高潮,,The reforms marked the successful culmination of a long campaign. 这些改革标志着一场长期运动的胜利结束。,(noun) The attainment of the highest point of altitude reached by a heavenly body; passage across the meridian; transit.,,n. 顶点；高潮
23682,发展,发展,阶段,重要,n.,meridian,3,en [mə'rɪdɪən] us [mə'rɪdɪən],子午圈；顶点；（权力，成就等的）全盛时期,,He is now at the meridian of his intellectual power. 他现在正值智力全盛期.,(noun) The south. | (adjective) Meridional; relating to a meridian.,,"n. 子午线，经线；中医经脉；顶点
adj. 子午线的，经线的；最高点的"
1673,发展,发展,阶段,重要,n.,prime,,en [praɪm] us [praɪm],巅峰时期,,,"(noun) The first hour of daylight; the first canonical hour. | (adjective) First in importance, degree, or rank.",,"adj. 主要的；最好的；基本的
adv. 极好地
n. 初期；青年；精华；全盛时期
vt. 使准备好；填装
vi. 作准备
n. (Prime)人名；(英)普赖姆；(德)普里梅"
6K+,发展,发展,阶段,重要,n.,tight spot,,,紧要关头,,,A difficult or dangerous situation.,,紧要关头
7824,发展,发展,阶段,重要,n.,watershed,,en ['wɔːtəʃed] us ['wɔtɚʃɛd],分水岭；转折点；重要关头,,Our marriage was at a watershed.  我们的婚姻到了一个转折关头 ,"(noun) The topographical boundary dividing two adjacent catchment basins, such as a ridge or a crest. | (adjective) Serving to mark a significant development, change in direction, etc.",,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
7319,发展,发展,时间,1,a.,all-time,,en ['ɔ:ltaim] us [ 'ɔ:ltaim ],空前的；全部时间的；历来的,,The president's popularity nationally is at an all-time low...总统在全国的人气目前正处于历史最低点。one of the all-time great players历来最杰出的选手之一；my all-time favourite song我一直喜爱的歌曲；Unemployment reached an all-time record of 3 million. 失业人数高达 300 万的创纪录数字。,(adjective) Of all time; unsurpassed up to the present time.,,adj. 空前的；全部时间的；历来的
6K+,发展,发展,时间,1,n.,biennium,,en [baɪ'enɪəm] us [baɪ'ɛnɪəm],二年期间,,"We can look ahead into the new biennium with confidence, hope and resilience. 我们满怀信心、希望和达观的心情展望新的两年期。",(noun) A period of two years.,,n. 两年期
13089,发展,发展,时间,1,n.,chronology,,en [krə'nɒlədʒɪ] us [krə'nɑlədʒi],年表；事件发生先后顺序表,,She gave him a factual account of the chronology of her brief liaison.她把自己一时出轨的先后经过一五一十地告诉了他。,(noun) The science of determining the order in which events occurred.,,n. 年表；年代学
24269,发展,发展,时间,1,n.,fortnight,,en ['fɔːtnaɪt] us ['fɔrtnaɪt],两星期,,,(noun) A period of 2 weeks.,,n. 两星期
20117,发展,发展,时间,1,adv.,hereafter,,en [hɪər'ɑːftə] us ['hɪr'æftɚ],以下；今后，此后,,I realised how hard life was going to be for me hereafter.我意识到从今以后我的生活将会多么艰难。Do you believe in a life hereafter? 你相信有来世吗？,(noun) A future existence or state. | (adjective) Future.,,"adv. （法律文件等）以下；今后，此后；死后
n. 死后生活；死后的灵魂存在；来世，阴世；将来
adj. 今后的，此后的；死后的"
16877,发展,发展,时间,1,adv.,heretofore,,"en [hɪətʊ'fɔː] us [,hɪrtu'fɔr]",直到此时，迄今为止,,They reported that clouds are an important and heretofore uninvestigated contributor to the climate.他们报告说，云是影响气候的一个重要因素，但迄今为止没有进行过研究。,"(adverb) Prior to now, until now, up to the present time; from the beginning to this point.",,adv. 直到此时，迄今为止；在这以前
